repo_full_name,type,stars,python_pct,contributors,commits_last_90d,pushed_at,html_url,web_frameworks_detected,description
llamastack/llama-stack,,8100,86.58,189,657,2025-10-08T14:47:18Z,https://github.com/llamastack/llama-stack,"fastapi,streamlit",Composable building blocks to build Llama Apps
aws/aws-sam-cli,,6636,99.5,326,76,2025-10-08T17:25:14Z,https://github.com/aws/aws-sam-cli,flask,"CLI tool to build, test, debug, and deploy Serverless applications using AWS SAM"
Avaiga/taipy,,18762,76.21,89,24,2025-10-08T09:02:32Z,https://github.com/Avaiga/taipy,flask,Turns Data and AI algorithms into production-ready web applications in no time.
feast-dev/feast,,6377,72.82,321,94,2025-10-07T15:18:20Z,https://github.com/feast-dev/feast,fastapi,The Open Source Feature Store for AI/ML
axolotl-ai-cloud/axolotl,,10575,95.9,210,207,2025-10-08T15:27:01Z,https://github.com/axolotl-ai-cloud/axolotl,gradio,Go ahead and axolotl questions
fastapi/sqlmodel,,16893,99.86,97,99,2025-10-08T16:38:40Z,https://github.com/fastapi/sqlmodel,fastapi,"SQL databases in Python, designed for simplicity, compatibility, and robustness."
SWE-agent/SWE-agent,,17531,94.68,88,33,2025-10-06T22:36:29Z,https://github.com/SWE-agent/SWE-agent,flask,"SWE-agent takes a GitHub issue and tries to automatically fix it, using your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges. [NeurIPS 2024]"
eternnoir/pyTelegramBotAPI,,8566,100.0,264,43,2025-09-03T15:01:47Z,https://github.com/eternnoir/pyTelegramBotAPI,flask,Python Telegram bot api.
bytedance/deer-flow,,17356,60.38,71,86,2025-10-05T14:07:23Z,https://github.com/bytedance/deer-flow,fastapi,"DeerFlow is a community-driven Deep Research framework, combining language models with tools like web search, crawling, and Python execution, while contributing back to the open-source community."
modelscope/modelscope,,8374,98.72,256,49,2025-10-01T12:53:00Z,https://github.com/modelscope/modelscope,"fastapi,gradio",ModelScope: bring the notion of Model-as-a-Service to life.
laramies/theHarvester,,14661,99.61,114,117,2025-10-08T16:49:53Z,https://github.com/laramies/theHarvester,fastapi,"E-mails, subdomains and names Harvester - OSINT"
datalab-to/surya,,18667,99.68,17,173,2025-10-08T17:11:34Z,https://github.com/datalab-to/surya,streamlit,"OCR, layout analysis, reading order, table recognition in 90+ languages"
qodo-ai/pr-agent,,9152,99.85,193,237,2025-10-06T11:16:44Z,https://github.com/qodo-ai/pr-agent,fastapi,"🚀 PR-Agent: An AI-Powered 🤖 Tool for Automated Pull Request Analysis, Feedback, Suggestions and More! 💻🔍 (For more advanced: check Qodo Merge)"
oraios/serena,,13869,89.86,69,353,2025-10-07T11:40:09Z,https://github.com/oraios/serena,flask,A powerful coding agent toolkit providing semantic retrieval and editing capabilities (MCP server & other integrations)
modelscope/FunASR,,12928,71.61,155,17,2025-10-01T06:46:21Z,https://github.com/modelscope/FunASR,fastapi,"A Fundamental End-to-End Speech Recognition Toolkit and Open Source SOTA Pretrained Models, Supporting Speech Recognition, Voice Activity Detection, Text Post-processing etc."
livekit/agents,,7783,96.71,194,314,2025-10-08T16:35:47Z,https://github.com/livekit/agents,fastapi,A powerful framework for building realtime voice AI agents 🤖🎙️📹
topoteretes/cognee,,7589,92.46,70,941,2025-10-08T17:19:17Z,https://github.com/topoteretes/cognee,fastapi,Memory for AI Agents in 6 lines of code
pdm-project/pdm,,8476,90.19,230,48,2025-10-08T01:41:11Z,https://github.com/pdm-project/pdm,streamlit,A modern Python package and dependency manager supporting the latest PEP standards
bentoml/BentoML,,8114,96.57,225,60,2025-10-08T01:30:04Z,https://github.com/bentoml/BentoML,fastapi,"The easiest way to serve AI apps and models - Build Model Inference APIs, Job queues, LLM apps, Multi-model pipelines, and more!"
kvcache-ai/ktransformers,,15141,64.11,84,48,2025-09-16T13:29:33Z,https://github.com/kvcache-ai/ktransformers,fastapi,A Flexible Framework for Experiencing Cutting-edge LLM Inference Optimizations
jazzband/pip-tools,,7942,99.62,217,88,2025-10-06T20:20:34Z,https://github.com/jazzband/pip-tools,django,A set of tools to keep your pinned Python dependencies fresh.
FunAudioLLM/CosyVoice,,16755,98.44,43,35,2025-09-28T07:28:15Z,https://github.com/FunAudioLLM/CosyVoice,"fastapi,gradio","Multi-lingual large voice generation model, providing inference, training and deployment full-stack ability."
ShishirPatil/gorilla,,12459,72.32,128,16,2025-10-02T09:50:25Z,https://github.com/ShishirPatil/gorilla,fastapi,Gorilla: Training and Evaluating LLMs for Function Calls (Tool Calls)
modelscope/ms-swift,,10213,99.81,95,402,2025-10-08T13:51:37Z,https://github.com/modelscope/ms-swift,"fastapi,gradio","Use PEFT or Full-parameter to CPT/SFT/DPO/GRPO 500+ LLMs (Qwen3, Qwen3-MoE, Llama4, GLM4.5, InternLM3, DeepSeek-R1, ...) and 200+ MLLMs (Qwen3-VL, Qwen3-Omni, InternVL3.5, Ovis2.5, Llava, GLM4v, Phi4, ...) (AAAI 2025)."
flet-dev/flet,,14484,70.26,75,54,2025-10-08T17:22:24Z,https://github.com/flet-dev/flet,fastapi,"Flet enables developers to easily build realtime web, mobile and desktop apps in Python. No frontend experience required."
ibis-project/ibis,,6139,98.27,222,148,2025-10-08T04:13:20Z,https://github.com/ibis-project/ibis,streamlit,the portable Python dataframe library
Alibaba-NLP/DeepResearch,,15544,96.65,26,133,2025-10-05T13:59:40Z,https://github.com/Alibaba-NLP/DeepResearch,"fastapi,streamlit","Tongyi Deep Research, the Leading Open-source Deep Research Agent"
awslabs/mcp,,6650,97.38,167,314,2025-10-08T17:22:00Z,https://github.com/awslabs/mcp,"fastapi,streamlit","AWS MCP Servers — helping you get the most out of AWS, wherever you use MCP."
trycua/cua,,10264,62.38,28,570,2025-10-07T23:22:42Z,https://github.com/trycua/cua,fastapi,"Open-source infrastructure for Computer-Use Agents. Sandboxes, SDKs, and benchmarks to train and evaluate AI agents that can control full desktops (macOS, Linux, Windows)."
triton-inference-server/server,,9858,56.19,141,33,2025-10-08T17:11:29Z,https://github.com/triton-inference-server/server,fastapi,The Triton Inference Server provides an optimized cloud and edge inferencing solution.
holoviz/panel,,5447,81.92,196,142,2025-10-08T16:18:09Z,https://github.com/holoviz/panel,django,Panel: The powerful data exploration & web app framework for Python
PaddlePaddle/PaddleFormers,,12932,99.82,33,140,2025-10-01T10:55:50Z,https://github.com/PaddlePaddle/PaddleFormers,"flask,gradio",PaddleFormers is an easy-to-use library of pre-trained large language model zoo based on PaddlePaddle.
QwenLM/Qwen3-Coder,,13875,85.02,30,16,2025-07-31T15:40:21Z,https://github.com/QwenLM/Qwen3-Coder,"django,flask","Qwen3-Coder is the code version of Qwen3, the large language model series developed by Qwen team, Alibaba Cloud."
agent0ai/agent-zero,,11938,54.15,26,220,2025-10-08T09:47:49Z,https://github.com/agent0ai/agent-zero,flask,Agent Zero AI framework
InternLM/lmdeploy,,7137,62.48,129,159,2025-10-07T05:56:34Z,https://github.com/InternLM/lmdeploy,fastapi,"LMDeploy is a toolkit for compressing, deploying, and serving LLMs."
blacklanternsecurity/bbot,,9026,99.91,49,355,2025-10-06T05:08:27Z,https://github.com/blacklanternsecurity/bbot,fastapi,The recursive internet scanner for hackers. 🧡
PaddlePaddle/ERNIE,,7495,57.21,43,511,2025-09-30T08:33:28Z,https://github.com/PaddlePaddle/ERNIE,gradio,The official repository for ERNIE 4.5 and ERNIEKit – its industrial-grade development toolkit based on PaddlePaddle.
LMCache/LMCache,,5493,93.31,116,337,2025-10-07T18:21:47Z,https://github.com/LMCache/LMCache,fastapi,Supercharge Your LLM with the Fastest KV Cache Layer
r0x0r/pywebview,,5478,75.75,170,42,2025-10-08T12:33:06Z,https://github.com/r0x0r/pywebview,flask,"Build GUI for your Python program with JavaScript, HTML, and CSS"
andrewyng/aisuite,,12374,50.9,34,15,2025-10-02T05:25:36Z,https://github.com/andrewyng/aisuite,fastapi,"Simple, unified interface to multiple Generative AI providers"
microsoft/presidio,,5729,99.72,151,46,2025-10-08T09:08:31Z,https://github.com/microsoft/presidio,"fastapi,streamlit","An open-source framework for detecting, redacting, masking, and anonymizing sensitive data (PII) across text, images, and structured data. Supports NLP, pattern matching, and customizable pipelines."
MervinPraison/PraisonAI,,5413,94.96,28,655,2025-08-30T10:55:01Z,https://github.com/MervinPraison/PraisonAI,"fastapi,flask,gradio","PraisonAI is a production-ready Multi AI Agents framework, designed to create AI Agents to automate and solve problems ranging from simple tasks to complex challenges. It provides a low-code solution to streamline the building and management of multi-agent LLM systems, emphasising simplicity, customisation, and effective human-agent collaboration."
icloud-photos-downloader/icloud_photos_downloader,,8950,93.88,47,176,2025-09-22T14:10:11Z,https://github.com/icloud-photos-downloader/icloud_photos_downloader,flask,A command-line tool to download photos from iCloud
kyegomez/swarms,,5306,99.48,49,528,2025-10-08T05:04:11Z,https://github.com/kyegomez/swarms,fastapi,The Enterprise-Grade Production-Ready Multi-Agent Orchestration Framework. Website: https://swarms.ai
vaexio/vaex,,8432,60.81,75,65,2025-10-01T03:22:26Z,https://github.com/vaexio/vaex,fastapi,"Out-of-Core hybrid Apache Arrow/NumPy DataFrame for Python, ML, visualization and exploration of big tabular data at a billion rows per second 🚀"
lastmile-ai/mcp-agent,,7476,99.93,55,208,2025-10-08T17:14:57Z,https://github.com/lastmile-ai/mcp-agent,"fastapi,streamlit",Build effective agents using Model Context Protocol and simple workflow patterns
online-ml/river,,5574,97.54,129,28,2025-10-05T08:35:18Z,https://github.com/online-ml/river,flask,🌊 Online machine learning in Python
tadata-org/fastapi_mcp,,10677,100.0,18,29,2025-09-08T14:32:19Z,https://github.com/tadata-org/fastapi_mcp,fastapi,"Expose your FastAPI endpoints as Model Context Protocol (MCP) tools, with Auth!"
facebookresearch/vggt,,11177,99.89,10,16,2025-09-01T03:24:05Z,https://github.com/facebookresearch/vggt,gradio,[CVPR 2025 Best Paper Award] VGGT: Visual Geometry Grounded Transformer
crestalnetwork/intentkit,,6425,99.77,15,452,2025-10-08T05:21:38Z,https://github.com/crestalnetwork/intentkit,fastapi,"An open and fair framework for everyone to build AI agents equipped with powerful skills. Launch your agent, improve the world, your wallet, or both!"
microsoft/RD-Agent,,8119,96.74,35,151,2025-10-02T01:47:33Z,https://github.com/microsoft/RD-Agent,"flask,streamlit","Research and development (R&D) is crucial for the enhancement of industrial productivity, especially in the AI era, where the core aspects of R&D are mainly focused on data and models. We are committed to automating these high-value generic R&D processes through R&D-Agent, which lets AI drive data-driven AI. 🔗https://aka.ms/RD-Agent-Tech-Report"
PaddlePaddle/PaddleX,,5793,63.49,97,53,2025-09-24T07:00:56Z,https://github.com/PaddlePaddle/PaddleX,fastapi,All-in-One Development Tool based on PaddlePaddle
NVIDIA-NeMo/Guardrails,,5124,99.55,102,88,2025-10-08T14:54:29Z,https://github.com/NVIDIA-NeMo/Guardrails,"fastapi,streamlit",NeMo Guardrails is an open-source toolkit for easily adding programmable guardrails to LLM-based conversational systems.
fishaudio/Bert-VITS2,,8588,99.91,36,13,2025-10-06T19:21:34Z,https://github.com/fishaudio/Bert-VITS2,gradio,vits2 backbone with multilingual-bert
OpenGVLab/InternVL,,9294,52.75,19,20,2025-09-22T01:36:48Z,https://github.com/OpenGVLab/InternVL,"django,fastapi,gradio,streamlit",[CVPR 2024 Oral] InternVL Family: A Pioneering Open-Source Alternative to GPT-4o.  接近GPT-4o表现的开源多模态对话模型
guardrails-ai/guardrails,,5758,69.84,71,65,2025-10-02T17:10:48Z,https://github.com/guardrails-ai/guardrails,"fastapi,flask",Adding guardrails to large language models.
The-Pocket/PocketFlow,,8545,71.08,25,15,2025-08-13T17:27:39Z,https://github.com/The-Pocket/PocketFlow,"fastapi,gradio,streamlit",Pocket Flow: 100-line LLM framework. Let Agents build Agents!
google/adk-samples,,5509,86.6,69,68,2025-10-06T10:00:34Z,https://github.com/google/adk-samples,"fastapi,flask",A collection of sample agents built with Agent Development (ADK)
adamchainz/django-cors-headers,,5522,100.0,70,12,2025-10-07T10:08:00Z,https://github.com/adamchainz/django-cors-headers,django,Django app for handling the server headers required for Cross-Origin Resource Sharing (CORS)
ijl/orjson,,7465,55.87,23,19,2025-10-07T13:32:04Z,https://github.com/ijl/orjson,flask,"Fast, correct Python JSON library supporting dataclasses, datetimes, and numpy"
Arindam200/awesome-ai-apps,,6580,67.01,17,131,2025-10-05T08:30:00Z,https://github.com/Arindam200/awesome-ai-apps,"fastapi,flask,gradio,streamlit","A collection of projects showcasing RAG, agents, workflows, and other AI use cases"
awslabs/agent-squad,,6962,63.82,29,25,2025-10-08T13:57:05Z,https://github.com/awslabs/agent-squad,"fastapi,streamlit",Flexible and powerful framework for managing multiple AI agents and handling complex conversations
simular-ai/Agent-S,,6912,99.77,20,48,2025-10-05T18:14:11Z,https://github.com/simular-ai/Agent-S,fastapi,Agent S: an open agentic framework that uses computers like a human
ostris/ai-toolkit,,6461,90.22,11,134,2025-10-07T19:39:50Z,https://github.com/ostris/ai-toolkit,gradio,The ultimate training toolkit for finetuning diffusion models
superduper-io/superduper,,5218,97.91,49,37,2025-09-01T15:20:18Z,https://github.com/superduper-io/superduper,fastapi,Superduper: End-to-end framework for building custom AI applications and agents.
BrainBlend-AI/atomic-agents,,5101,100.0,27,105,2025-09-25T13:11:23Z,https://github.com/BrainBlend-AI/atomic-agents,fastapi,"Building AI agents, atomically"
